chknum,jobid,chksiz[bytes],chkdur[ms]
1,6ebe01b255df199949f60a281a0fed3e,615064,37
2,6ebe01b255df199949f60a281a0fed3e,1426970,9
3,6ebe01b255df199949f60a281a0fed3e,2238724,9
4,6ebe01b255df199949f60a281a0fed3e,3050382,8
5,6ebe01b255df199949f60a281a0fed3e,3862126,8
6,6ebe01b255df199949f60a281a0fed3e,4673814,9
7,6ebe01b255df199949f60a281a0fed3e,5485548,8
8,6ebe01b255df199949f60a281a0fed3e,6297306,7
9,6ebe01b255df199949f60a281a0fed3e,7108994,8
10,6ebe01b255df199949f60a281a0fed3e,7920748,9
11,6ebe01b255df199949f60a281a0fed3e,8732452,9
12,6ebe01b255df199949f60a281a0fed3e,9544178,9
13,6ebe01b255df199949f60a281a0fed3e,10355914,10
14,6ebe01b255df199949f60a281a0fed3e,11167592,11
15,6ebe01b255df199949f60a281a0fed3e,11979306,23
16,6ebe01b255df199949f60a281a0fed3e,12791040,9
17,6ebe01b255df199949f60a281a0fed3e,13602734,11
18,6ebe01b255df199949f60a281a0fed3e,14414454,8
19,6ebe01b255df199949f60a281a0fed3e,15226172,9
20,6ebe01b255df199949f60a281a0fed3e,16037896,9
21,6ebe01b255df199949f60a281a0fed3e,16849632,11
22,6ebe01b255df199949f60a281a0fed3e,17661430,10
23,6ebe01b255df199949f60a281a0fed3e,18473116,11
24,6ebe01b255df199949f60a281a0fed3e,19284812,12
25,6ebe01b255df199949f60a281a0fed3e,20096526,11
26,6ebe01b255df199949f60a281a0fed3e,20908240,12
27,6ebe01b255df199949f60a281a0fed3e,21719958,21
28,6ebe01b255df199949f60a281a0fed3e,22531678,10
29,6ebe01b255df199949f60a281a0fed3e,23343390,12
30,6ebe01b255df199949f60a281a0fed3e,24155080,11
31,6ebe01b255df199949f60a281a0fed3e,24966776,11
32,6ebe01b255df199949f60a281a0fed3e,25778440,12
33,6ebe01b255df199949f60a281a0fed3e,26590136,11
34,6ebe01b255df199949f60a281a0fed3e,27401838,12
35,6ebe01b255df199949f60a281a0fed3e,28213574,12
36,6ebe01b255df199949f60a281a0fed3e,29025340,12
