execute_time[ms],latency[ms]
84,84
216,216
216,216
216,216
216,216
216,166
216,165
216,165
217,166
217,166
217,117
217,117
217,117
217,117
217,117
217,67
217,67
217,67
217,67
217,67
218,18
218,18
218,18
218,18
218,18
258,8
259,9
259,9
259,9
259,9
359,59
359,59
359,59
359,59
359,59
359,9
359,9
359,9
359,9
359,9
459,58
459,58
459,58
459,58
459,58
459,9
459,9
459,9
459,9
459,9
559,59
559,59
559,59
559,59
559,59
559,9
559,9
560,10
560,10
560,10
659,59
659,59
659,59
659,59
659,59
660,10
660,10
660,10
660,10
660,10
759,59
759,58
759,58
759,58
759,58
759,9
759,9
759,9
759,9
760,10
859,59
859,59
859,59
859,59
859,59
859,9
859,9
860,10
860,10
860,10
959,59
959,59
959,59
959,59
959,59
959,9
960,10
960,10
960,10
960,10
1059,59
1059,59
1059,59
1059,59
1060,60
1060,9
1060,9
1060,9
1060,9
1060,9
1159,59
1159,59
1159,59
1160,60
1160,60
1160,10
1160,10
1160,10
1160,10
1160,10
1252,52
1252,52
1252,52
1252,52
1252,52
1252,2
1253,3
1253,3
1253,3
1253,3
1457,157
1458,158
1458,158
1458,158
1458,158
1458,108
1458,108
1458,108
1458,108
1458,108
1459,59
1459,58
1459,58
1459,58
1459,58
1459,9
1459,9
1459,9
1459,9
1459,9
1560,60
1560,60
1560,60
1560,60
1560,60
1560,10
1560,10
1560,10
1560,10
1560,10
1660,60
1660,60
1660,60
1660,60
1660,60
1660,10
1660,10
1660,10
1660,10
1661,11
1760,60
1760,60
1760,60
1760,60
1760,60
1760,10
1760,9
1760,9
1761,10
1761,10
1860,60
1860,60
1860,60
1860,60
1860,60
1860,10
1860,10
1860,10
1861,11
1861,11
1960,60
1960,60
1960,60
1960,60
1960,60
1960,10
1961,11
1961,11
1961,11
1961,11
2060,60
2060,60
2060,60
2060,60
2060,60
2061,11
2061,11
2061,11
2061,11
2061,11
2160,59
2160,59
2160,59
2160,59
2161,60
2161,11
2161,11
2161,11
2161,11
2161,11
2260,60
2260,60
2260,60
2261,61
2261,61
2261,11
2261,11
2261,11
2261,11
2261,11
2360,60
2361,61
2361,61
2361,61
2361,61
2361,11
2361,11
2361,11
2361,11
2361,11
2460,60
2461,61
2461,61
2461,61
2461,61
2461,11
2461,10
2461,10
2461,10
2461,10
2561,61
2561,61
2561,61
2561,61
2561,61
2561,11
2561,11
2561,11
2561,11
2561,11
2661,61
2661,61
2661,61
2661,61
2661,61
2661,11
2661,11
2661,11
2661,11
2661,11
2761,61
2761,61
2761,61
2761,61
2761,61
2761,11
2761,11
2761,11
2761,11
2761,11
2861,61
2861,60
2861,60
2861,60
2861,60
2861,11
2861,11
2861,11
2862,12
2862,12
2961,61
2961,61
2961,61
2961,61
2961,61
2961,11
2961,11
2961,11
2962,12
2962,12
3061,61
3061,61
3061,61
3061,61
3061,61
3061,11
3061,11
3062,12
3062,12
3062,12
3161,61
3161,61
3161,61
3161,61
3161,61
3162,12
3162,12
3162,12
3162,12
3162,12
3252,51
3252,51
3252,51
3252,51
3252,51
3252,2
3252,2
3253,3
3253,3
3253,3
3475,175
3475,175
3476,176
3476,176
3476,176
3476,126
3476,126
3476,126
3476,126
3477,127
3477,77
3477,77
3477,77
3477,77
3477,77
3477,27
3477,27
3477,27
3477,27
3478,28
3562,62
3562,61
3562,61
3562,61
3562,61
3562,12
3562,12
3562,12
3562,12
3562,12
3662,62
3662,62
3662,62
3662,62
3662,62
3662,12
3662,12
3662,12
3662,12
3662,12
3762,62
3762,62
3762,62
3762,62
3762,62
3762,12
3762,12
3762,12
3762,12
3762,12
3862,62
3862,62
3862,62
3862,62
3862,62
3862,11
3862,11
3862,11
3862,11
3862,11
3962,62
3962,62
3962,62
3962,62
3962,62
3962,12
3962,12
3962,12
3962,12
3962,12
4062,62
4062,62
4062,62
4062,62
4062,62
4062,12
4062,12
4062,12
4062,12
4063,13
4162,62
4162,62
4162,62
4162,62
4162,62
4162,12
4162,12
4162,12
4163,13
4163,13
4262,61
4262,61
4262,61
4262,61
4263,62
4263,13
4263,13
4263,13
4263,13
4263,13
4362,62
4362,62
4362,62
4362,62
4363,63
4363,13
4363,13
4363,13
4363,13
4363,13
4462,62
4462,62
4462,62
4463,63
4463,63
4463,13
4463,13
4463,13
4463,13
4463,13
4562,61
4563,62
4563,62
4563,62
4563,62
4563,13
4563,13
4563,13
4563,13
4563,13
4662,62
4663,63
4663,63
4663,63
4663,63
4663,13
4663,13
4663,13
4663,13
4663,13
4763,63
4763,63
4763,63
4763,63
4763,63
4763,13
4763,13
4763,13
4763,13
4763,13
4863,63
4863,63
4863,63
4863,63
4863,63
4863,12
4863,12
4863,12
4863,12
4863,12
4963,63
4963,63
4963,63
4963,63
4963,63
4963,13
4963,13
4963,13
4963,13
4963,13
5063,63
5063,63
5063,63
5063,63
5063,63
5063,13
5063,13
5063,13
5063,13
5063,13
5163,63
5163,63
5163,63
5163,63
5163,63
5163,12
5163,12
5163,12
5164,13
5164,13
5252,52
5252,52
5252,52
5252,52
5252,52
5252,2
5252,2
5253,3
5253,3
5253,3
5477,177
5477,177
5477,177
5477,177
5478,178
5478,128
5478,128
5478,128
5478,128
5478,128
5478,78
5478,78
5478,78
5478,78
5478,78
5478,28
5479,29
5479,29
5479,29
5479,29
5563,62
5563,62
5564,63
5564,63
5564,63
5564,14
5564,14
5564,14
5564,14
5564,14
5663,63
5664,64
5664,64
5664,64
5664,64
5664,14
5664,14
5664,14
5664,14
5664,14
5764,64
5764,64
5764,64
5764,64
5764,64
5764,14
5764,14
5764,14
5764,14
5764,14
5864,64
5864,64
5864,64
5864,64
5864,64
