execute_time[ms],latency[ms]
92,92
227,227
227,227
228,228
228,228
228,178
229,179
229,179
229,179
229,179
229,129
230,130
230,130
230,130
230,130
231,81
231,81
231,81
231,81
231,81
232,31
232,31
232,31
232,31
232,31
253,3
253,3
253,3
253,3
253,3
353,53
353,53
353,53
353,53
353,53
353,3
354,4
354,4
354,4
354,4
453,53
453,53
453,53
453,53
454,54
454,4
454,4
454,4
454,4
454,4
553,53
553,53
553,53
553,53
553,53
554,4
554,4
554,4
554,4
554,4
653,52
653,52
653,52
653,52
654,53
654,4
654,4
654,4
654,4
655,5
753,53
753,53
753,53
753,53
754,54
754,4
754,4
754,4
754,4
755,5
853,53
853,53
853,53
854,54
854,54
854,4
854,4
854,4
854,4
855,5
953,53
953,53
954,54
954,54
954,54
954,4
954,4
954,4
955,5
955,5
1053,52
1053,52
1054,53
1054,53
1054,53
1054,4
1054,4
1054,4
1055,5
1055,5
1153,53
1154,54
1154,54
1154,54
1154,54
1154,4
1154,4
1154,4
1155,5
1155,5
1254,54
1254,54
1254,54
1254,54
1254,54
1254,4
1255,5
1255,5
1255,5
1255,5
1354,54
1354,54
1354,54
1354,54
1354,54
1354,4
1355,5
1355,5
1355,5
1355,5
1454,54
1454,54
1454,54
1454,54
1454,54
1455,4
1455,4
1455,4
1455,4
1455,4
1554,54
1554,54
1554,54
1554,54
1555,55
1555,5
1555,5
1555,5
1555,5
1555,5
1654,54
1654,54
1654,54
1655,55
1655,55
1655,5
1655,5
1655,5
1655,5
1656,6
1704,4
1704,4
1704,4
1704,4
1704,4
1754,4
1754,4
1754,4
1755,5
1755,5
1854,54
1854,54
1855,55
1855,55
1855,55
1855,5
1855,5
1855,5
1855,5
1856,6
1954,54
1954,53
1955,54
1955,54
1955,54
1955,5
1955,5
1956,6
1956,6
1956,6
2054,54
2055,55
2055,55
2055,55
2055,55
2055,5
2055,5
2056,6
2056,6
2056,6
2154,54
2155,55
2155,55
2155,55
2155,55
2156,6
2156,6
2156,6
2156,6
2156,6
2255,55
2255,55
2255,55
2255,55
2255,55
2255,5
2255,5
2255,5
2256,6
2256,6
2355,55
2355,55
2355,55
2355,55
2356,56
2356,5
2356,5
2356,5
2356,5
